Word,Count
#,640
//,288
=,151
1,122
2,119
\0xff,\,115
15,101
the,99
if,98
8,97
to,72
Packet,68
=============================================,61
==,60
13,59
of,55
7,43
If,42
1),40
5,40
10,39
and,34
is,29
for,28
N_ITER+1,28
-,27
Only,26
be,25
a,23
0,23
or,21
4,21
packet,21
TransmissionMedia=Any,20
in,20
14,19
balise,17
which,17
!=,16
The,15
used,15
TransmissionMedia=Balise,14
0),13
RBC,13
event,13
train,12
information,12
value,12
6,12
3,12
This,12
RIU,11
on-board,11
\TransmissionMedia=Balise,\,11
gives,11
applications,10
shall,10
Q_TRACKINIT,10
(Q_TRACKINIT,10
TransmissionMedia=RBC,10
between,9
ERTMS/ETCS,9
has,8
direction,8
End,8
reference,8
NOT,8
speed,8
(,8
when,8
level,8
one,8
language),8
group,8
from,7
this,7
system,7
Subset-026-7,7
Transmission,7
variables,7
following,7
brake,7
identity,7
give,6
\8,\,6
number,6
distance,6
set,6
TestwortRetval,6
can,6
Testwort,6
\Bitwalker_IncrementalWalker_Poke_Next(&PokeLocals,\,6
than,6
Testwort);,6
\Bitwalker_IncrementalWalker_Peek_Next(&PeekLocals,\,6
It,6
8);,6
Q_TEXTREPORT,6
Start,6
transition,6
uphill,5
factor,5
location,5
Valid,5
only,5
gradient,5
Q_NVKVINTSET,5
Used,5
range,5
restriction,5
lower,5
with,5
64,5
position,5
plausibility,5
axle,5
check,5
/,5
follow,5
use,5
trackside,5
bit,5
Q_NEWCOUNTRY,5
(Q_NEWCOUNTRY,5
:,5
\AG,\,4
developed,4
LIABILITY,4
Cryptography:,4
UNISIG,4
OR,4
accidents,4
2),4
harm,4
NO,4
MUST,4
financial,4
cause,4
Name:,4
deceleration,4
http://joinup.ec.europa.eu/software/page/eupl/licence-eupl,4
Q_NEWCOUNTRY(k),4
SUCH,4
/>,4
Licensed,4
(Q_NEWCOUNTRY(k),4
GIVEN,4
7:,4
Description:,4
last,4
FOR,4
\1,\,4
V.1.1,4
10+14,4
\3.3.0,\,4
EUPL,4
operation,4
been,4
loss,4
ISSUE,4
software,4
3.5,4
ETCS,4
\people,\,4
report,4
Q_NVKVINTSET(k),4
as,4
maximum,4
may,4
AND,4
physical,4
WILL,4
ANY,4
message,4
No,4
Copyright,4
OTHER,4
(Chapter,4
KIND,4
\TransmissionMedia=RBC,\,4
Q_SUITABILITY(k),4
Formalization,4
Disclaimer:,4
limited,4
under,4
emergency,4
),4
M_LEVELTR,4
NON-vital,4
Q_SUITABILITY,4
an,4
Position,4
Train,4
\THEREFORE,\,4
\SUBSET-026-7,\,4
,4
Gist,4
according,4
vital,4
case,4
category,4
2/3,4
USE,4
traction,4
Identity,4
BE,4
Geographical,4
change,4
2)),4
Siemens,4
Q_TEXTCONFIRM,4
OF,4
that,4
purposes,4
correction,4
URL:,4
telegram,4
Reference,4
(Q_SUITABILITY,3
load,3
mode,3
parameters,3
SiemensRailAutomation,3
\order"\\,3
alarms,3
details,3
Author(s):,3
0)),3
reading,3
Balise,3
given,3
32,3
profile,3
\Loop,\,3
movement,3
authority,3
stop,3
integrity,3
N_ITER(k),3
check:,3
2013,3
bits,3
not,3
Indication,3
(Q_SUITABILITY(k),3
none,3
downhill,3
error:,3
current,3
running,3
1=,3
24,3
by,3
concerning,3
equipment,3
calculation,3
Version,3
ignored,3
Information,3
MA,3
SH,3
1;,3
transmission,3
Gradient,2
we,2
Everything,2
byte,2
lowest,2
associated,2
restrictions,2
about,2
telling,2
iterate,2
Basic,2
M_VOLTAGE,2
