File,Violation,Line,Column,Check,Entity
"Bitwalker.c","Identifier Bitstream reused","26","82","Identifier name reuse","Bitstream"
"Bitwalker.c","Identifier Bitstream reused","48","77","Identifier name reuse","Bitstream"
"Bitwalker.c","Identifier Bitstream reused","74","87","Identifier name reuse","Bitstream"
"Bitwalker.c","Identifier BitstreamSizeInBytes reused","26","108","Identifier name reuse","BitstreamSizeInBytes"
"Bitwalker.c","Identifier BitstreamSizeInBytes reused","48","103","Identifier name reuse","BitstreamSizeInBytes"
"Bitwalker.c","Identifier Length reused","26","66","Identifier name reuse","Length"
"Bitwalker.c","Identifier Length reused","48","61","Identifier name reuse","Length"
"Bitwalker.c","Identifier Length reused","82","101","Identifier name reuse","Length"
"Bitwalker.c","Identifier Length reused","97","95","Identifier name reuse","Length"
"Bitwalker.c","Identifier Locals reused","74","71","Identifier name reuse","Locals"
"Bitwalker.c","Identifier Locals reused","82","80","Identifier name reuse","Locals"
"Bitwalker.c","Identifier Locals reused","91","77","Identifier name reuse","Locals"
"Bitwalker.c","Identifier Locals reused","97","74","Identifier name reuse","Locals"
"Bitwalker.c","Identifier Locals reused","106","76","Identifier name reuse","Locals"
"Bitwalker.c","Identifier Startposition reused","26","38","Identifier name reuse","Startposition"
"Bitwalker.c","Identifier Startposition reused","48","33","Identifier name reuse","Startposition"
"Bitwalker.c","Identifier Value reused","48","134","Identifier name reuse","Value"
"Bitwalker.c","Identifier Value reused","97","112","Identifier name reuse","Value"
"Bitwalker.c","Identifier i reused","35","21","Identifier name reuse","i"
"Bitwalker.c","Identifier i reused","60","12","Identifier name reuse","i"
"Bitwalker.c","Identifier retval reused","33","17","Identifier name reuse","retval"
"Bitwalker.c","Identifier retval reused","85","17","Identifier name reuse","retval"
"Bitwalker.c","Identifier retval reused","100","12","Identifier name reuse","retval"
"Bitwalker.c","More than 31 characers are significant","82","80","Identifier name significance","Bitwalker_IncrementalWalker_Peek_Next"
"Bitwalker.c","More than 31 characers are significant","91","77","Identifier name significance","Bitwalker_IncrementalWalker_Peek_Finish"
"Bitwalker.c","More than 31 characers are significant","97","74","Identifier name significance","Bitwalker_IncrementalWalker_Poke_Next"
"Bitwalker.c","More than 31 characers are significant","106","76","Identifier name significance","Bitwalker_IncrementalWalker_Poke_Finish"
"Bitwalker.c","Violation: identifier ""Length"" reused in multiple C name spaces.","26","66","No identifier in one name space should have the same spelling as an identifier in another name space.","Length"
"Bitwalker.c","Violation: identifier ""Bitstream"" reused in multiple C name spaces.","26","82","No identifier in one name space should have the same spelling as an identifier in another name space.","Bitstream"
"Bitwalker.c","Violation: C99 style comment found: // switch between easily debugable code and compact code with reduced number of local variables and intensified bit manipulation","22","0","Only use /* comments",""
"Bitwalker.c","Violation: C99 style comment found: // plausibility check: is last byte in range","28","8","Only use /* comments",""
