File,Violation,Line,Column,Check,Entity
"Bitwalker.c","If statement not enclosed in curly braces { } in Bitwalker.c.","56","28","14.9 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement","Bitwalker_Poke"
"Bitwalker.c","If statement not enclosed in curly braces { } in Bitwalker.c.","51","71","14.9 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement","Bitwalker_Poke"
"Bitwalker.c","If statement not enclosed in curly braces { } in Bitwalker.c.","29","71","14.9 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement","Bitwalker_Peek"
"Bitwalker.c","If statement not enclosed in curly braces { } in Bitwalker.c.","63","39","14.9 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement","Bitwalker_Poke"
"Bitwalker.c","If statement not enclosed in curly braces { } in Bitwalker.c.","65","16","14.9 An if ( condition ) construct shall be followed by a compound statement. The else keyword shall be followed by either a compound statement, or another if statement","Bitwalker_Poke"
"Bitwalker.c","Violation: basic numerical type ""int"" used in ""unsigned int"".","97","95","6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.","Length"
"Bitwalker.c","Violation: basic numerical type ""int"" used in ""unsigned int"".","82","101","6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.","Length"
"Bitwalker.c","Violation: basic numerical type ""int"" used in ""unsigned int"".","74","132","6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.","FirstBitposition"
"Bitwalker.c","Violation: C99 style comment found: // false == 0, true == 1 ==> if bit is set, than 1, else 0","41","128","2.2 only use /* comments",""
"Bitwalker.c","Violation: C99 style comment found: // switch between easily debugable code and compact code with reduced number of local variables and intensified bit manipulation","22","0","2.2 only use /* comments",""
"Bitwalker.c","Violation: C99 style comment found: // plausibility check: is last byte in range","50","8","2.2 only use /* comments",""
"Bitwalker.c","Violation: C99 style comment found: // plausibility check: is last byte in range","28","8","2.2 only use /* comments",""
"Bitwalker.c","Violation: basic numerical type ""int"" used in ""unsigned int"".","26","38","6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.","Startposition"
"Bitwalker.c","Violation: C99 style comment found: // tricky conversion bool to int (Zero or One):","40","72","2.2 only use /* comments",""
"Bitwalker.c","Violation: basic numerical type ""int"" used in ""unsigned int"".","26","66","6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.","Length"
"Bitwalker.c","Violation: C99 style comment found: // error: value to big for bit field","57","40","2.2 only use /* comments",""
